Szenario,Name,Namensherkunft,Nationalität,Geschlecht,Wohnort,Score
Super,Yusuf Yilmaz, Türkisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Yusuf Yilmaz, Türkisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Yusuf Yilmaz, Türkisch,Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Yusuf Yilmaz, Türkisch,Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Mustafa Kaya, Türkisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Mustafa Kaya, Türkisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Mustafa Kaya, Türkisch,Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Mustafa Kaya, Türkisch,Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Mehmet Demir, Türkisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Mehmet Demir, Türkisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Mehmet Demir, Türkisch,Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Mehmet Demir, Türkisch,Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Zeynep Yilmaz, Türkisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Zeynep Yilmaz, Türkisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",95
Super,Zeynep Yilmaz, Türkisch,Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Zeynep Yilmaz, Türkisch,Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Elif Kaya, Türkisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Elif Kaya, Türkisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",95
Super,Elif Kaya, Türkisch,Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Elif Kaya, Türkisch,Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Yağmur Demir, Türkisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Yağmur Demir, Türkisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Yağmur Demir, Türkisch,Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Yağmur Demir, Türkisch,Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Jacob Smith, Englisch(USA),Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Jacob Smith, Englisch(USA),Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Jacob Smith, Englisch(USA),Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Jacob Smith, Englisch(USA),Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Michael Johnson, Englisch(USA),Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Michael Johnson, Englisch(USA),Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Michael Johnson, Englisch(USA),Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Michael Johnson, Englisch(USA),Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Joshua Williams, Englisch(USA),Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Joshua Williams, Englisch(USA),Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Joshua Williams, Englisch(USA),Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Joshua Williams, Englisch(USA),Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Emily Johnson, Englisch(USA),Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Emily Johnson, Englisch(USA),Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",95
Super,Emily Johnson, Englisch(USA),Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Emily Johnson, Englisch(USA),Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Emma Williams, Englisch(USA),Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Emma Williams, Englisch(USA),Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Emma Williams, Englisch(USA),Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Emma Williams, Englisch(USA),Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Madison Smith, Englisch(USA),Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Madison Smith, Englisch(USA),Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Madison Smith, Englisch(USA),Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Madison Smith, Englisch(USA),Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Lukas Gruber, Österreichisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Lukas Gruber, Österreichisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Lukas Gruber, Österreichisch,Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Lukas Gruber, Österreichisch,Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,David Huber, Österreichisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,David Huber, Österreichisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
