Szenario,Name,Namensherkunft,Nationalität,Geschlecht,Wohnort,Score
Super,Yusuf Yilmaz, Türkisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Yusuf Yilmaz, Türkisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Yusuf Yilmaz, Türkisch,Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Yusuf Yilmaz, Türkisch,Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Mustafa Kaya, Türkisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Mustafa Kaya, Türkisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Mustafa Kaya, Türkisch,Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Mustafa Kaya, Türkisch,Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Mehmet Demir, Türkisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Mehmet Demir, Türkisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Mehmet Demir, Türkisch,Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Mehmet Demir, Türkisch,Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Zeynep Yilmaz, Türkisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Zeynep Yilmaz, Türkisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Zeynep Yilmaz, Türkisch,Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Zeynep Yilmaz, Türkisch,Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Elif Kaya, Türkisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Elif Kaya, Türkisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Elif Kaya, Türkisch,Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Elif Kaya, Türkisch,Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Yağmur Demir, Türkisch,Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Yağmur Demir, Türkisch,Österreichisch,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Yağmur Demir, Türkisch,Österreichisch,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Yağmur Demir, Türkisch,Österreichisch,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Jacob Smith, Englisch(USA),Österreichisch,,"Strubergasse 10, 5020 Salzburg, Österreich",80
