Szenario,Name,Namensherkunft,Nationalität,Geschlecht,Wohnort,Score
Super,Yusuf Yilmaz, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Yusuf Yilmaz, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Yusuf Yilmaz, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Yusuf Yilmaz, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Mustafa Kaya, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Mustafa Kaya, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Mustafa Kaya, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Mustafa Kaya, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Mehmet Demir, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Mehmet Demir, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Mehmet Demir, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Mehmet Demir, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Zeynep Yilmaz, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Zeynep Yilmaz, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Zeynep Yilmaz, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Zeynep Yilmaz, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Elif Kaya, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Elif Kaya, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",95
Super,Elif Kaya, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Elif Kaya, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Yağmur Demir, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Yağmur Demir, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Yağmur Demir, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Yağmur Demir, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Jacob Smith, Englisch(USA),,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Jacob Smith, Englisch(USA),,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Jacob Smith, Englisch(USA),,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Jacob Smith, Englisch(USA),,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Michael Johnson, Englisch(USA),,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Michael Johnson, Englisch(USA),,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Michael Johnson, Englisch(USA),,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Michael Johnson, Englisch(USA),,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Joshua Williams, Englisch(USA),,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Joshua Williams, Englisch(USA),,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Joshua Williams, Englisch(USA),,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Joshua Williams, Englisch(USA),,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Emily Johnson, Englisch(USA),,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Emily Johnson, Englisch(USA),,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Emily Johnson, Englisch(USA),,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Emily Johnson, Englisch(USA),,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Emma Williams, Englisch(USA),,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Emma Williams, Englisch(USA),,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Emma Williams, Englisch(USA),,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Emma Williams, Englisch(USA),,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Madison Smith, Englisch(USA),,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Madison Smith, Englisch(USA),,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Madison Smith, Englisch(USA),,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Madison Smith, Englisch(USA),,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Lukas Gruber, Österreichisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Lukas Gruber, Österreichisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Lukas Gruber, Österreichisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Lukas Gruber, Österreichisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,David Huber, Österreichisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,David Huber, Österreichisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,David Huber, Österreichisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,David Huber, Österreichisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Michael Wagner, Österreichisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Michael Wagner, Österreichisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Michael Wagner, Österreichisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Michael Wagner, Österreichisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Anna Gruber, Österreichisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Anna Gruber, Österreichisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Anna Gruber, Österreichisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Anna Gruber, Österreichisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Julia Huber, Österreichisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Julia Huber, Österreichisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Julia Huber, Österreichisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Julia Huber, Österreichisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Leonie Wagner, Österreichisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",95
Super,Leonie Wagner, Österreichisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",95
Super,Leonie Wagner, Österreichisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Leonie Wagner, Österreichisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Ivan Horvat, Kroatisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Ivan Horvat, Kroatisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Ivan Horvat, Kroatisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Ivan Horvat, Kroatisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Luka Kovačević, Kroatisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Luka Kovačević, Kroatisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Luka Kovačević, Kroatisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",90
Super,Luka Kovačević, Kroatisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Marko Babić, Kroatisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Marko Babić, Kroatisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
Super,Marko Babić, Kroatisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",95
Super,Marko Babić, Kroatisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",90
Super,Ana Horvat, Kroatisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",90
Super,Ana Horvat, Kroatisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",90
