Szenario,Name,Namensherkunft,Nationalität,Geschlecht,Wohnort,Score
Super,Yusuf Yilmaz, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",72
Super,Yusuf Yilmaz, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",75
Super,Yusuf Yilmaz, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",75
Super,Yusuf Yilmaz, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",75
Super,Mustafa Kaya, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",75
Super,Mustafa Kaya, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",72
Super,Mustafa Kaya, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",75
Super,Mustafa Kaya, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",75
Super,Mehmet Demir, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",72
Super,Mehmet Demir, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",75
Super,Mehmet Demir, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",75
Super,Mehmet Demir, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",75
Super,Zeynep Yilmaz, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",72
Super,Zeynep Yilmaz, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",75
Super,Zeynep Yilmaz, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",75
Super,Zeynep Yilmaz, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",72
Super,Elif Kaya, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",75
Super,Elif Kaya, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",72
Super,Elif Kaya, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",75
Super,Elif Kaya, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",75
Super,Yağmur Demir, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",72
Super,Yağmur Demir, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",75
Super,Yağmur Demir, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",75
Super,Yağmur Demir, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",72
Super,Jacob Smith, Englisch(USA),,,"Strubergasse 10, 5020 Salzburg, Österreich",75
Super,Jacob Smith, Englisch(USA),,,"Mühlengasse 31, 5121 Ostermiething, Österreich",75
Super,Jacob Smith, Englisch(USA),,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",75
Super,Jacob Smith, Englisch(USA),,,"Birkenweg 12, 83395 Freilassing, Deutschland",75
Super,Michael Johnson, Englisch(USA),,,"Strubergasse 10, 5020 Salzburg, Österreich",75
Super,Michael Johnson, Englisch(USA),,,"Mühlengasse 31, 5121 Ostermiething, Österreich",75
Super,Michael Johnson, Englisch(USA),,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",75
Super,Michael Johnson, Englisch(USA),,,"Birkenweg 12, 83395 Freilassing, Deutschland",75
Super,Joshua Williams, Englisch(USA),,,"Strubergasse 10, 5020 Salzburg, Österreich",75
Super,Joshua Williams, Englisch(USA),,,"Mühlengasse 31, 5121 Ostermiething, Österreich",75
Super,Joshua Williams, Englisch(USA),,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",75
Super,Joshua Williams, Englisch(USA),,,"Birkenweg 12, 83395 Freilassing, Deutschland",75
Super,Emily Johnson, Englisch(USA),,,"Strubergasse 10, 5020 Salzburg, Österreich",75
Super,Emily Johnson, Englisch(USA),,,"Mühlengasse 31, 5121 Ostermiething, Österreich",75
Super,Emily Johnson, Englisch(USA),,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",75
Super,Emily Johnson, Englisch(USA),,,"Birkenweg 12, 83395 Freilassing, Deutschland",75
Super,Emma Williams, Englisch(USA),,,"Strubergasse 10, 5020 Salzburg, Österreich",75
Super,Emma Williams, Englisch(USA),,,"Mühlengasse 31, 5121 Ostermiething, Österreich",72
Super,Emma Williams, Englisch(USA),,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",75
Super,Emma Williams, Englisch(USA),,,"Birkenweg 12, 83395 Freilassing, Deutschland",75
Super,Madison Smith, Englisch(USA),,,"Strubergasse 10, 5020 Salzburg, Österreich",75
Super,Madison Smith, Englisch(USA),,,"Mühlengasse 31, 5121 Ostermiething, Österreich",75
Super,Madison Smith, Englisch(USA),,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",75
