Szenario,Name,Namensherkunft,Nationalität,Geschlecht,Wohnort,Score
Super,Yusuf Yilmaz, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",85
Super,Yusuf Yilmaz, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",85
Super,Yusuf Yilmaz, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",85
Super,Yusuf Yilmaz, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",85
Super,Mustafa Kaya, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",85
Super,Mustafa Kaya, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",85
Super,Mustafa Kaya, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",85
Super,Mustafa Kaya, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",85
Super,Mehmet Demir, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",85
Super,Mehmet Demir, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",85
Super,Mehmet Demir, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",85
Super,Mehmet Demir, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",85
Super,Zeynep Yilmaz, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",85
Super,Zeynep Yilmaz, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",85
Super,Zeynep Yilmaz, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",85
Super,Zeynep Yilmaz, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",85
Super,Elif Kaya, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",85
Super,Elif Kaya, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",85
Super,Elif Kaya, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",85
Super,Elif Kaya, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",85
Super,Yağmur Demir, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",85
Super,Yağmur Demir, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",85
Super,Yağmur Demir, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",85
Super,Yağmur Demir, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",85
Super,Jacob Smith, Englisch(USA),,,"Strubergasse 10, 5020 Salzburg, Österreich",85
Super,Jacob Smith, Englisch(USA),,,"Mühlengasse 31, 5121 Ostermiething, Österreich",85
