Szenario,Name,Namensherkunft,Nationalität,Geschlecht,Wohnort,Score
Super,Yusuf Yilmaz, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Yusuf Yilmaz, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Yusuf Yilmaz, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Yusuf Yilmaz, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Mustafa Kaya, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Mustafa Kaya, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Mustafa Kaya, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Mustafa Kaya, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Mehmet Demir, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Mehmet Demir, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Mehmet Demir, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Mehmet Demir, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Zeynep Yilmaz, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Zeynep Yilmaz, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Zeynep Yilmaz, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Zeynep Yilmaz, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Elif Kaya, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Elif Kaya, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Elif Kaya, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Elif Kaya, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Yağmur Demir, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Yağmur Demir, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Yağmur Demir, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Yağmur Demir, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Ahmet Çelik, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Ahmet Çelik, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Ahmet Çelik, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Ahmet Çelik, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Ali Şahin, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Ali Şahin, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Ali Şahin, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Ali Şahin, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Hüseyin Yıldız, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Hüseyin Yıldız, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Hüseyin Yıldız, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Hüseyin Yıldız, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super, Murat Yıldırım, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super, Murat Yıldırım, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super, Murat Yıldırım, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super, Murat Yıldırım, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,İbrahim Öztürk, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,İbrahim Öztürk, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,İbrahim Öztürk, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,İbrahim Öztürk, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Fatma Aydın, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Fatma Aydın, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Fatma Aydın, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Fatma Aydın, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Ayşe Özdemir, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
Super,Ayşe Özdemir, Türkisch,,,"Mühlengasse 31, 5121 Ostermiething, Österreich",80
Super,Ayşe Özdemir, Türkisch,,,"Hernalser Hauptstraße 45, 1170 Wien, Österreich",80
Super,Ayşe Özdemir, Türkisch,,,"Birkenweg 12, 83395 Freilassing, Deutschland",80
Super,Emine Arslan, Türkisch,,,"Strubergasse 10, 5020 Salzburg, Österreich",80
